"filename", "language", "YAML", "Python", "Markdown", "C++", "Objective-C++", "XML", "JSON", "C", "JavaScript", "Makefile", "C#", "GDScript", "GDResource", "Properties", "GDScene", "Shell Script", "Diff", "Groovy", "Batch", "Java", "Swift", "HTML", "Objective-C", "comment", "blank", "total"
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\Indexify.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 20
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\MortonCode.h", "C++", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 41
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\OrientedBox.cpp", "C++", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 36, 179
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\OrientedBox.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 40
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\Plane.h", "C++", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 22, 102
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\RayAABox.h", "C++", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 55, 242
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\RayCapsule.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 38
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\RayCylinder.h", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 13, 102
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\RaySphere.h", "C++", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 97
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\RayTriangle.h", "C++", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 34, 159
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\Sphere.h", "C++", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 73
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Geometry\Triangle.h", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 35
"f:\project\C++\next-engine\thirdparty\jolt_physics\Jolt\Jolt.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 17
